employee_id,first_name,last_name,gender,state,city,education_level,birthdate,hiredate,termdate,department,job_title,salary,performance_rating,overtime
00-17507864,Ranbir,Karan,Male,Maharashtra,Pune,Bachelor,3/6/1982,8/20/2017,2/16/2018,Operations,Logistics Coordinator,386321,Good,No
00-52339391,Tejas,Bumb,Male,Gujarat,Vadodara,PhD,7/20/1966,5/15/2019,5/24/2023,Sales,Sales Specialist,525401,Good,No
00-86125617,Lakshay,Sampath,Female,Bihar,Patna,Bachelor,7/19/1970,4/8/2023,10/5/2023,Operations,Logistics Coordinator,432111,Excellent,No
00-97971488,Pihu,Sabharwal,Male,Maharashtra,Nagpur,Bachelor,12/20/1984,1/27/2020,8/7/2022,Operations,Operations Analyst,635118,Excellent,No
00-29175900,Myra,Chada,Male,Gujarat,Ahmedabad,Bachelor,5/1/1974,7/14/2017,5/17/2022,Operations,Logistics Coordinator,539927,Good,No
00-85345555,Nirvaan,Bumb,Male,Madhya Pradesh,Indore,Bachelor,11/26/1989,6/17/2020,12/14/2020,IT,Software Developer,1197455,Good,Yes
00-67503414,Purab,Reddy,Male,Bihar,Bhagalpur,Bachelor,1/3/1993,9/8/2023,3/6/2024,Marketing,Marketing Coordinator,454599,Good,No
00-39436733,Madhup,Sani,Female,Maharashtra,Pune,Master,1/9/1972,4/28/2024,10/25/2024,Operations,Operations Analyst,362603,Good,No
00-76238574,Tiya,Soni,Male,Maharashtra,Nagpur,Bachelor,11/6/1984,1/21/2016,1/20/2018,Marketing,Marketing Coordinator,314549,Good,No
00-24716857,Arhaan,Swaminathan,Female,Maharashtra,Mumbai,Master,5/9/1998,4/25/2017,5/7/2022,Operations,Operations Analyst,436712,Good,No
00-66661351,Priyansh,Bali,Female,Gujarat,Ahmedabad,Bachelor,12/19/1996,3/18/2020,4/22/2022,Operations,Logistics Coordinator,328981,Needs Improvement,Yes
00-89978790,Jiya,Vora,Female,Maharashtra,Pune,Bachelor,6/18/1996,9/19/2024,3/18/2025,Marketing,Marketing Coordinator,446032,Good,No
00-84252722,Lakshit,Sagar,Male,Madhya Pradesh,Bhopal,Bachelor,2/13/1982,7/1/2023,12/28/2023,Finance,Financial Analyst,882436,Good,No
00-25374874,Nayantara,Karnik,Male,Madhya Pradesh,Bhopal,Bachelor,7/20/1977,2/22/2022,8/21/2022,Operations,Operations Analyst,473411,Excellent,No
00-45812670,Hiran,Dasgupta,Female,Rajasthan,Jodhpur,Bachelor,6/8/1981,9/29/2022,3/28/2023,Customer Service,Customer Service Representative,304927,Good,No
00-49392920,Heer,Deep,Male,Maharashtra,Pune,Bachelor,6/9/1971,9/29/2019,11/13/2024,Operations,Logistics Coordinator,334179,Good,No
00-45351479,Aaryahi,Yadav,Male,Maharashtra,Mumbai,High School,1/9/1979,7/31/2024,1/27/2025,Operations,Inventory Specialist,335263,Good,No
00-24282218,Taran,Choudhary,Male,Maharashtra,Pune,Bachelor,10/12/1975,12/30/2023,6/27/2024,Finance,Accounts Payable Specialist,356335,Good,Yes
00-95758349,Hiran,Kumar,Female,Madhya Pradesh,Gwalior,Bachelor,5/20/1999,6/29/2020,12/26/2020,Customer Service,Help Desk Technician,465911,Good,Yes
00-60185867,Tanya,Bajwa,Female,Maharashtra,Mumbai,Bachelor,8/18/1988,11/10/2022,5/9/2023,Operations,Operations Analyst,446548,Good,No
00-81182864,Indrans,Ratti,Male,Bihar,Gaya,High School,2/14/1982,2/28/2024,8/26/2024,Marketing,SEO Specialist,769028,Good,No
00-75579548,Pihu,Kakar,Female,Maharashtra,Mumbai,Bachelor,2/26/1976,8/6/2015,3/17/2017,Operations,Operations Analyst,693818,Good,No
00-51273847,Veer,Halder,Female,Maharashtra,Pune,Bachelor,9/20/2000,8/5/2017,2/1/2018,Operations,Logistics Coordinator,451790,Good,Yes
00-20570592,Anahita,Lalla,Female,Karnataka,Mysuru,Bachelor,8/30/1995,4/1/2016,12/29/2021,Customer Service,Help Desk Technician,487711,Satisfactory,Yes
00-19289546,Ishita,Vasa,Female,Maharashtra,Pune,Bachelor,12/24/1973,12/9/2024,6/7/2025,Operations,Logistics Coordinator,364701,Good,No
00-26879290,Pihu,Sen,Male,Maharashtra,Mumbai,Master,8/2/1986,2/11/2016,5/26/2021,IT,Software Developer,947807,Good,No
00-32162965,Heer,Sheth,Female,Maharashtra,Nagpur,Master,12/30/1984,4/8/2017,2/5/2021,IT,Software Developer,1083924,Good,No
00-38427073,Nayantara,Garde,Male,Maharashtra,Nagpur,High School,12/8/1986,2/10/2024,8/8/2024,Operations,Inventory Specialist,249933,Satisfactory,No
00-36998038,Adira,Brar,Female,Madhya Pradesh,Bhopal,Bachelor,11/24/1972,6/15/2022,12/12/2022,Sales,Sales Consultant,737184,Good,No
00-97225156,Saira,Vora,Male,Maharashtra,Mumbai,Bachelor,1/11/1978,9/19/2018,1/11/2022,Marketing,Marketing Coordinator,339857,Satisfactory,Yes
00-26240908,Damini,Singh,Male,Maharashtra,Pune,Master,1/31/1986,3/7/2017,4/1/2020,Finance,Financial Analyst,908950,Satisfactory,No
00-12823170,Emir,Virk,Male,Maharashtra,Pune,Bachelor,7/13/1990,8/16/2020,2/12/2021,Sales,Sales Representative,395557,Needs Improvement,No
00-39557077,Navya,Kulkarni,Male,Bihar,Patna,High School,11/28/1998,8/10/2015,9/8/2021,Operations,Inventory Specialist,279679,Excellent,No
00-17901903,Indrans,Grover,Female,Maharashtra,Nagpur,High School,3/30/1996,10/5/2017,8/12/2021,Customer Service,Customer Service Representative,369638,Good,No
00-54349361,Hrishita,Sood,Female,Maharashtra,Nagpur,PhD,2/6/1973,12/2/2016,1/23/2022,Sales,Sales Consultant,799544,Excellent,Yes
00-99788677,Aarav,Ram,Male,Maharashtra,Nagpur,Bachelor,12/23/1971,4/28/2019,9/5/2021,Operations,Logistics Coordinator,466528,Good,Yes
00-86644106,Advik,Bhalla,Female,Bihar,Patna,High School,11/27/1991,12/5/2020,6/3/2021,Operations,Inventory Specialist,380053,Satisfactory,Yes
00-73481353,Zara,Dube,Male,Maharashtra,Mumbai,Bachelor,5/3/1974,3/29/2023,9/25/2023,Operations,Operations Analyst,718876,Good,No
00-23009833,Nakul,Vyas,Female,Maharashtra,Mumbai,Bachelor,6/20/1984,7/26/2022,12/15/2024,Operations,Inventory Specialist,295420,Good,No
00-65177213,Dhanush,Basak,Male,Maharashtra,Mumbai,Bachelor,12/6/1988,9/24/2019,3/22/2020,IT,IT Support Specialist,439836,Excellent,No
00-97705310,Darshit,Sidhu,Female,Gujarat,Ahmedabad,Bachelor,7/27/1977,7/13/2024,1/9/2025,Operations,Inventory Specialist,282529,Excellent,No
00-64038913,Gokul,Bhatt,Male,Maharashtra,Mumbai,High School,10/1/1993,8/29/2022,2/25/2023,Customer Service,Support Specialist,342998,Good,No
00-35714784,Ira,Butala,Female,Maharashtra,Nagpur,Bachelor,1/18/1986,4/7/2017,7/19/2020,Finance,Accountant,570976,Needs Improvement,No
00-66623995,Mahika,Kakar,Male,Maharashtra,Mumbai,High School,11/8/1998,12/18/2017,6/2/2024,Customer Service,Help Desk Technician,316975,Good,Yes
00-20117988,Hrishita,Shroff,Male,Madhya Pradesh,Bhopal,Bachelor,8/2/2002,9/23/2019,9/23/2023,IT,Software Developer,803169,Satisfactory,No
00-16789850,Krish,Saxena,Male,Maharashtra,Nagpur,Bachelor,12/19/1992,4/24/2022,10/21/2022,Operations,Operations Analyst,395324,Good,No
00-11980765,Oorja,Sachar,Female,Gujarat,Ahmedabad,Bachelor,1/9/1974,5/16/2024,11/12/2024,Customer Service,Customer Service Representative,291575,Good,Yes
00-64547971,Ela,Kara,Female,Karnataka,Mangaluru,High School,2/6/1995,2/14/2019,8/25/2023,Customer Service,Support Specialist,228936,Good,No
00-63826716,Mamooty,Balay,Female,Madhya Pradesh,Gwalior,Bachelor,5/22/1991,5/4/2023,10/31/2023,Sales,Sales Representative,379792,Good,No
00-10289289,Khushi,Malhotra,Female,Maharashtra,Nagpur,Bachelor,5/22/1978,3/24/2024,9/20/2024,Sales,Sales Representative,526630,Satisfactory,No
00-71070189,Madhup,Aggarwal,Male,Maharashtra,Nagpur,High School,6/8/2002,1/26/2017,7/25/2017,Customer Service,Customer Service Representative,358184,Satisfactory,No
00-84593961,Mohanlal,Balan,Female,Bihar,Patna,Master,11/14/1983,3/25/2022,9/21/2022,Operations,Operations Analyst,351711,Good,No
00-35487660,Arhaan,Vasa,Male,Maharashtra,Mumbai,Bachelor,8/20/1986,5/1/2017,4/14/2019,Operations,Inventory Specialist,468061,Good,No
00-82772208,Drishya,Dani,Female,Maharashtra,Mumbai,High School,8/26/1985,4/11/2016,9/23/2017,HR,Recruiter,494484,Good,No
00-16729990,Aradhya,Chhabra,Female,Maharashtra,Nagpur,Bachelor,12/17/1992,7/15/2020,1/11/2021,Sales,Sales Representative,297317,Satisfactory,Yes
00-81286543,Samaira,Wadhwa,Male,Maharashtra,Mumbai,Bachelor,11/1/1991,7/27/2017,5/1/2021,Operations,Inventory Specialist,326694,Satisfactory,No
00-34941004,Anika,Dara,Female,Madhya Pradesh,Gwalior,Bachelor,9/7/1961,10/13/2016,4/11/2017,IT,Software Developer,1091536,Needs Improvement,Yes
00-41568532,Zara,Jani,Male,Maharashtra,Mumbai,High School,10/2/1996,3/11/2019,8/7/2021,Customer Service,Support Specialist,310774,Excellent,Yes
00-87701200,Divit,Sahni,Male,Bihar,Gaya,Bachelor,11/1/1975,6/6/2020,12/3/2020,Marketing,Marketing Coordinator,423023,Good,No
00-66267415,Aarna,Jha,Female,Gujarat,Surat,High School,11/18/1974,6/19/2022,5/14/2024,Operations,Inventory Specialist,377718,Good,No
00-52462441,Samiha,Bala,Male,Rajasthan,Udaipur,Bachelor,8/25/1981,9/2/2024,3/1/2025,IT,Software Developer,1049363,Satisfactory,No
00-52169044,Neelofar,Bawa,Female,Rajasthan,Udaipur,Bachelor,2/2/1998,1/23/2017,4/21/2021,Operations,Logistics Coordinator,332742,Good,Yes
00-96637649,Samiha,Gara,Male,Maharashtra,Mumbai,High School,3/11/1971,10/19/2017,6/14/2021,Operations,Inventory Specialist,291709,Good,No
00-19736572,Emir,Dash,Male,Gujarat,Surat,Bachelor,7/6/2001,3/11/2015,8/16/2024,IT,IT Support Specialist,445570,Needs Improvement,No
00-23419256,Heer,Kapur,Female,Maharashtra,Nagpur,Bachelor,8/1/1993,2/21/2016,12/2/2021,Operations,Logistics Coordinator,275619,Satisfactory,No
00-45594597,Jivin,Dewan,Male,Maharashtra,Mumbai,High School,5/19/1980,6/18/2017,7/10/2023,Marketing,Content Creator,375935,Needs Improvement,No
00-42787299,Dhanuk,Kant,Male,Gujarat,Vadodara,Master,5/31/1981,10/22/2018,5/19/2021,IT,Software Developer,1049793,Excellent,No
00-82909480,Ira,Bawa,Male,Maharashtra,Nagpur,Bachelor,10/12/1970,1/19/2022,7/18/2022,Operations,Inventory Specialist,254909,Good,Yes
00-97775215,Hrishita,Toor,Female,Maharashtra,Nagpur,Master,12/26/1972,1/6/2020,7/4/2020,IT,Software Developer,958679,Good,Yes
00-84437458,Divij,Shetty,Female,Maharashtra,Mumbai,Bachelor,2/11/1990,11/5/2017,9/28/2021,Sales,Sales Representative,474566,Satisfactory,Yes
00-28024248,Ivan,Jani,Male,Madhya Pradesh,Indore,Bachelor,1/2/1980,6/26/2017,10/30/2022,Operations,Logistics Coordinator,419025,Excellent,No
00-84252420,Lakshit,Venkatesh,Female,Maharashtra,Nagpur,Bachelor,2/3/1988,5/26/2017,4/18/2021,IT,Software Developer,524005,Satisfactory,No
00-38270233,Biju,Butala,Female,Madhya Pradesh,Bhopal,Bachelor,10/24/1989,5/18/2022,11/14/2022,Operations,Inventory Specialist,233071,Satisfactory,Yes
00-95125977,Vidur,Deo,Female,Madhya Pradesh,Gwalior,High School,11/24/1973,12/4/2023,6/1/2024,Marketing,Content Creator,507795,Good,No
00-43704923,Vardaniya,Karan,Female,Maharashtra,Mumbai,High School,1/18/1995,4/14/2023,10/11/2023,Marketing,Content Creator,387650,Satisfactory,No
00-95132217,Rasha,Setty,Female,Gujarat,Vadodara,Bachelor,8/15/1997,12/29/2019,12/9/2023,Sales,Sales Representative,489915,Satisfactory,No
00-10475894,Ivana,Sahota,Male,Karnataka,Mangaluru,High School,8/23/1982,9/19/2018,3/18/2019,Operations,Inventory Specialist,433726,Satisfactory,No
00-45159040,Indrans,Chandran,Male,Maharashtra,Pune,Bachelor,8/7/2001,4/19/2017,12/18/2022,Operations,Operations Analyst,493769,Excellent,No
00-67403166,Bhavin,Mann,Female,Maharashtra,Nagpur,Bachelor,10/28/1980,9/25/2020,3/24/2021,Customer Service,Help Desk Technician,321129,Satisfactory,Yes
00-30005727,Biju,Shenoy,Female,Maharashtra,Mumbai,High School,10/9/1963,4/24/2020,7/29/2021,Customer Service,Customer Service Representative,418898,Satisfactory,No
00-84158663,Badal,Master,Male,Maharashtra,Mumbai,Bachelor,6/17/1983,6/23/2017,12/20/2017,Operations,Logistics Coordinator,524665,Satisfactory,No
00-51373735,Eva,Brar,Male,Maharashtra,Nagpur,Bachelor,11/16/1974,1/21/2018,4/6/2022,IT,System Administrator,475284,Excellent,No
00-38195995,Diya,Baria,Female,Maharashtra,Pune,Bachelor,7/7/1998,11/6/2022,8/27/2024,Sales,Sales Specialist,547745,Excellent,Yes
00-57469942,Darshit,Rajan,Male,Maharashtra,Pune,Bachelor,9/25/2001,1/25/2023,7/24/2023,Operations,Logistics Coordinator,373981,Good,No
00-30743797,Miraan,Jaggi,Male,Gujarat,Surat,High School,10/16/1973,2/13/2024,8/11/2024,Marketing,Content Creator,424305,Good,No
00-31810617,Jiya,Dasgupta,Female,Maharashtra,Pune,High School,3/22/1988,7/30/2024,1/26/2025,Operations,Inventory Specialist,225726,Good,No
00-13326769,Arnav,Rao,Male,Madhya Pradesh,Gwalior,Bachelor,8/22/1985,1/30/2017,8/29/2021,Sales,Sales Representative,551039,Satisfactory,Yes
00-65259205,Nirvi,Manne,Male,Madhya Pradesh,Gwalior,Bachelor,8/16/1998,7/25/2023,1/21/2024,IT,Software Developer,915717,Good,No
00-43308443,Saksham,De,Male,Maharashtra,Mumbai,High School,4/10/1997,3/16/2017,8/10/2019,Customer Service,Help Desk Technician,403073,Good,No
00-61343880,Saanvi,Dugar,Male,Maharashtra,Nagpur,High School,4/23/1980,3/28/2023,9/24/2023,Operations,Inventory Specialist,286650,Good,No
00-36786211,Vivaan,Bhatti,Female,Bihar,Gaya,Bachelor,2/13/1964,9/2/2023,2/29/2024,Operations,Operations Analyst,476581,Satisfactory,No
00-50962024,Rohan,Karnik,Male,Maharashtra,Nagpur,Master,4/25/1996,4/26/2023,9/3/2024,Operations,Operations Analyst,488672,Excellent,No
00-13176186,Suhana,Bansal,Male,Madhya Pradesh,Gwalior,Bachelor,10/20/1975,1/4/2022,7/3/2022,Operations,Operations Analyst,458454,Good,No
00-47393469,Misha,Manda,Male,Madhya Pradesh,Gwalior,PhD,7/24/1987,12/29/2023,6/26/2024,Finance,Financial Analyst,898804,Good,Yes
00-96098221,Devansh,Luthra,Female,Maharashtra,Pune,Master,5/10/1989,3/18/2020,12/25/2021,Sales,Sales Consultant,591709,Satisfactory,No
00-81969657,Prerak,Bhatti,Female,Maharashtra,Pune,High School,11/9/1985,12/6/2018,10/4/2024,Customer Service,Customer Service Representative,297064,Satisfactory,No
00-45059710,Darshit,Wable,Male,Maharashtra,Pune,Bachelor,8/25/2003,3/30/2017,12/14/2024,Operations,Inventory Specialist,402732,Good,No
00-24549543,Raunak,Brar,Male,Maharashtra,Mumbai,High School,11/6/1979,6/8/2020,12/5/2020,Marketing,Content Creator,393740,Good,No
00-52101056,Inaaya ,Sarraf,Female,Maharashtra,Nagpur,Master,2/27/1975,4/21/2019,10/18/2019,Sales,Sales Specialist,566452,Needs Improvement,No
00-61700055,Zara,Sachdeva,Female,Maharashtra,Pune,Bachelor,3/1/1966,7/12/2023,1/8/2024,Operations,Logistics Coordinator,373558,Excellent,No
00-15957459,Nitya,Taneja,Female,Madhya Pradesh,Bhopal,Bachelor,1/5/1984,7/21/2022,4/3/2024,Customer Service,Customer Service Representative,249528,Satisfactory,Yes
00-82269803,Nitara,Ben,Male,Maharashtra,Nagpur,High School,8/24/1979,12/8/2022,6/6/2023,Operations,Inventory Specialist,259803,Good,No
00-36445607,Himmat,Deo,Female,Madhya Pradesh,Bhopal,High School,3/9/1981,2/12/2018,7/24/2022,Operations,Inventory Specialist,296250,Good,No
00-54318698,Emir,Sharaf,Male,Maharashtra,Pune,High School,3/5/1986,7/21/2021,2/18/2022,Operations,Inventory Specialist,375772,Satisfactory,Yes
00-26726926,Purab,Dhaliwal,Female,Bihar,Gaya,Master,6/12/1966,8/9/2022,2/5/2023,Finance,Financial Analyst,663322,Satisfactory,No
00-51511484,Saanvi,Garg,Female,Maharashtra,Pune,High School,7/1/1982,3/16/2022,9/12/2022,Customer Service,Help Desk Technician,303719,Excellent,No
00-49682169,Myra,Varkey,Female,Madhya Pradesh,Indore,Bachelor,6/22/1992,4/6/2020,10/3/2020,Sales,Sales Representative,268177,Good,No
00-99245317,Ayesha,Dass,Male,Maharashtra,Nagpur,Bachelor,6/16/1972,11/26/2024,5/25/2025,Finance,Accounts Payable Specialist,571661,Satisfactory,Yes
00-33357554,Baiju,Batra,Male,Maharashtra,Mumbai,Master,9/18/2001,8/19/2021,4/6/2024,Sales,Sales Specialist,497840,Good,Yes
00-83542887,Raghav,Bains,Female,Maharashtra,Mumbai,High School,11/7/1993,1/2/2023,7/1/2023,Operations,Inventory Specialist,294090,Satisfactory,No
00-38210242,Trisha,Bhattacharyya,Male,Maharashtra,Pune,Bachelor,7/27/1971,8/20/2019,8/25/2022,Customer Service,Customer Service Representative,467097,Satisfactory,No
00-97873101,Prerak,Buch,Female,Madhya Pradesh,Bhopal,Bachelor,2/18/1994,9/27/2018,5/10/2022,Sales,Sales Representative,368613,Excellent,No
00-38682516,Ishita,Sastry,Male,Maharashtra,Mumbai,Bachelor,9/8/1984,6/5/2020,7/5/2024,Sales,Sales Representative,392727,Good,Yes
00-98429450,Aayush,Bhalla,Male,Maharashtra,Nagpur,Bachelor,12/10/1984,1/28/2016,11/2/2020,Sales,Sales Representative,424690,Good,Yes
00-94951883,Prisha,Zacharia,Female,Madhya Pradesh,Indore,Bachelor,3/10/1970,2/24/2021,8/23/2021,Marketing,Content Creator,484679,Needs Improvement,No
00-41523529,Armaan,Tiwari,Male,Maharashtra,Nagpur,Master,2/8/1978,5/15/2022,11/11/2022,Sales,Sales Consultant,455525,Good,No
00-36726767,Ishita,Borah,Male,Maharashtra,Pune,Master,11/17/1974,6/6/2017,9/23/2024,HR,HR Coordinator,492919,Satisfactory,No
00-73771720,Arnav,Dube,Male,Bihar,Patna,Bachelor,6/29/1985,5/13/2021,11/9/2021,Customer Service,Support Specialist,443456,Excellent,No
00-65625330,Yashvi,Vasa,Male,Maharashtra,Mumbai,Bachelor,1/16/2001,1/15/2023,7/14/2023,Marketing,Marketing Coordinator,654677,Satisfactory,No
00-61536717,Taimur,Cheema,Male,Maharashtra,Pune,High School,12/7/1989,9/5/2020,3/4/2021,Operations,Inventory Specialist,306984,Good,No
00-98054615,Nitya,Behl,Male,Madhya Pradesh,Bhopal,High School,5/7/1996,5/9/2022,11/5/2022,IT,IT Support Specialist,334965,Good,Yes
00-67062156,Jhanvi,Wagle,Female,Maharashtra,Nagpur,Bachelor,5/1/1990,11/15/2017,4/17/2021,Marketing,Marketing Coordinator,483916,Good,No
00-72350830,Miraya,Shere,Male,Maharashtra,Nagpur,Bachelor,1/26/2001,2/26/2016,5/8/2017,Marketing,Marketing Coordinator,298047,Satisfactory,No
00-26288475,Miraan,Venkatesh,Male,Madhya Pradesh,Indore,Bachelor,7/26/1984,3/1/2019,9/12/2020,Marketing,Content Creator,584886,Excellent,Yes
00-81287314,Yasmin,Tak,Female,Maharashtra,Nagpur,High School,7/21/2001,3/5/2024,9/1/2024,Operations,Inventory Specialist,332246,Good,No
00-69401199,Zain,Arora,Male,Maharashtra,Nagpur,Bachelor,8/5/1977,3/7/2021,9/14/2022,Sales,Sales Representative,340469,Excellent,No
00-67276174,Shamik,Srinivas,Female,Maharashtra,Pune,Master,11/25/1972,12/5/2023,6/2/2024,Operations,Operations Analyst,725105,Good,Yes
00-31361812,Zaina,Sami,Male,Maharashtra,Mumbai,Master,3/21/1974,11/11/2022,5/10/2023,Sales,Sales Specialist,612400,Good,Yes
00-44788100,Zoya,Dash,Male,Maharashtra,Mumbai,Master,7/13/1997,4/8/2022,6/20/2024,IT,Software Developer,1022917,Good,Yes
00-79967676,Vedika,Sarna,Female,Maharashtra,Mumbai,PhD,2/25/1992,2/9/2019,12/22/2023,Sales,Sales Specialist,560349,Good,No
00-69038700,Armaan,Varughese,Male,Maharashtra,Pune,Bachelor,4/4/1986,6/20/2016,9/16/2022,Customer Service,Help Desk Technician,400273,Good,Yes
00-46468984,Krish,Taneja,Male,Maharashtra,Mumbai,Bachelor,6/20/1996,12/1/2018,1/6/2020,Sales,Sales Representative,583473,Excellent,No
00-28572252,Stuvan,Dua,Male,Maharashtra,Pune,Master,3/1/1985,10/26/2017,4/24/2018,IT,Software Developer,673229,Satisfactory,No
00-30509175,Manikya,Choudhury,Female,Rajasthan,Jaipur,Bachelor,3/17/1983,1/9/2022,7/8/2022,Customer Service,Help Desk Technician,429850,Satisfactory,No
00-64707061,Kartik,Iyengar,Female,Uttar Pradesh,Varanasi,Master,2/16/1989,4/30/2018,10/27/2018,Finance,Financial Analyst,1011653,Good,No
00-18357162,Darshit,Som,Male,Karnataka,Mangaluru,High School,9/20/1961,4/12/2017,1/23/2024,Customer Service,Help Desk Technician,368976,Good,Yes
00-88393811,Nayantara,Kumar,Male,Maharashtra,Pune,Bachelor,7/24/2002,5/25/2024,11/21/2024,Operations,Logistics Coordinator,344797,Excellent,No
00-87267850,Heer,Gandhi,Male,Madhya Pradesh,Bhopal,High School,8/1/1999,12/8/2018,7/27/2019,Customer Service,Support Specialist,292618,Good,No
00-50079111,Farhan,Vyas,Male,Maharashtra,Nagpur,Bachelor,4/18/1995,12/20/2022,11/25/2023,Finance,Accounts Payable Specialist,329858,Satisfactory,Yes
00-83300637,Jayesh,Mannan,Male,Maharashtra,Mumbai,Bachelor,10/30/1993,12/17/2023,6/14/2024,Customer Service,Support Specialist,293686,Excellent,No
00-39450273,Prerak,Bahl,Female,Maharashtra,Pune,Bachelor,9/22/1994,2/9/2017,3/1/2020,Sales,Sales Specialist,553315,Good,No
00-62191530,Adira,Gera,Female,Maharashtra,Nagpur,High School,6/14/2001,9/23/2018,1/16/2021,Customer Service,Help Desk Technician,433850,Good,No
00-64266464,Saksham,Kamdar,Female,Maharashtra,Mumbai,High School,6/8/2002,8/9/2022,2/5/2023,Customer Service,Support Specialist,299726,Satisfactory,Yes
00-93517915,Diya,Bhardwaj,Female,Maharashtra,Mumbai,Bachelor,5/19/1996,5/20/2020,5/17/2021,Customer Service,Customer Service Representative,274926,Good,Yes
00-85751409,Kashvi,Chandran,Male,Maharashtra,Nagpur,PhD,7/19/1976,4/3/2022,9/30/2022,HR,HR Manager,672991,Satisfactory,No
00-67527432,Rhea,Kamdar,Female,Maharashtra,Nagpur,Bachelor,12/7/1998,1/1/2017,6/30/2017,Sales,Sales Representative,379333,Satisfactory,Yes
00-16749089,Zara,Luthra,Female,Maharashtra,Mumbai,Bachelor,2/9/1973,9/8/2017,1/19/2024,Sales,Sales Representative,501881,Good,No
00-71028710,Seher,Shan,Female,Madhya Pradesh,Indore,Bachelor,7/21/1990,9/2/2018,3/1/2019,Operations,Logistics Coordinator,375258,Satisfactory,No
00-66581473,Tejas,Kale,Female,Maharashtra,Mumbai,High School,9/20/1987,1/26/2017,9/28/2018,Customer Service,Support Specialist,371078,Excellent,No
00-12601580,Nitya,Gandhi,Female,Maharashtra,Mumbai,High School,2/6/1982,8/15/2022,2/11/2023,Customer Service,Support Specialist,216634,Good,No
